1.51,4,8,64.3,81,4,2,6692
1.51,4,8,64.3,81,4,2,6816
1.70,6,8,78.4,70,2,1,6828
1.51,4,8,64.3,81,4,2,6853
1.50,6,8,74.5,65,3,2,6880
1.52,6,8,70.7,73,2,1,7039
1.50,6,8,74.5,78,2,1,7044
1.52,5,7,73.2,76,2,1,7075
1.54,6,8,71.6,70,2,1,7111
1.52,6,8,70.7,73,2,1,7239
1.50,6,6,76.7,78,3,1,7327
1.53,6,8,75.4,74,3,2,7402
1.51,5,8,79.2,70,3,1,7491
1.52,6,8,74.7,74,2,1,7510
1.59,5,7,78.7,67,3,2,7566
1.50,6,5,70.7,77,3,1,7639
1.51,5,8,74.0,73,2,1,7642
1.50,6,8,79.8,72,2,2,7718
1.50,5,8,75.1,75,2,1,7731
1.50,6,7,73.0,73,2,1,7738
1.59,5,7,78.7,67,3,2,7739
1.54,5,8,70.8,72,2,1,7741
1.59,5,7,78.7,67,3,2,7781
1.50,5,8,76.0,75,2,2,7790
1.50,6,6,70.3,75,3,2,7793
1.50,6,6,75.4,71,3,2,7806
1.53,6,8,74.7,70,2,2,7820
1.50,6,7,83.3,64,3,2,7825
1.50,6,5,70.7,77,3,1,7827
1.50,5,8,75.1,75,2,1,7878
1.52,6,5,71.1,75,2,2,7912
1.50,5,8,75.1,75,2,1,7921
1.54,5,8,70.8,72,2,1,7961
1.53,6,5,77.5,77,3,3,7975
1.50,5,8,75.8,75,2,1,7978
1.50,6,5,71.1,74,2,2,7981
1.56,6,5,75.1,75,3,2,7987
1.51,4,8,76.5,74,3,3,8018
1.56,6,5,75.1,75,3,2,8030
1.53,5,8,72.0,71,2,2,8051
1.54,6,7,73.5,75,2,2,8061
1.50,6,7,70.6,75,3,1,8072
1.70,6,6,78.9,69,3,3,8076
1.52,6,5,71.1,75,2,2,8094
1.53,5,8,72.0,71,2,2,8095
1.50,5,6,70.3,83,3,3,8096
1.51,5,8,70.3,72,2,1,8106
1.75,6,8,75.1,81,2,2,8124
1.75,6,8,75.1,81,2,2,8124
1.51,4,8,76.5,74,3,3,8125
1.50,4,8,76.4,74,2,2,8126
1.52,6,5,71.1,75,2,2,8138
1.51,5,8,67.2,75,2,1,8141
1.53,6,7,68.7,76,3,2,8142
1.50,5,8,75.8,75,2,1,8151
1.50,6,4,71.7,77,3,2,8166
1.75,6,8,75.1,81,2,2,8169
1.75,6,8,75.1,81,2,2,8169
1.50,4,8,71.5,80,3,2,8173
1.53,6,4,75.3,73,3,3,8175
1.50,6,7,70.6,75,3,1,8179
1.50,5,8,75.8,75,2,1,8195
1.51,5,8,67.2,75,2,1,8205
1.54,6,7,73.5,75,2,2,8216
1.59,4,8,74.4,66,2,2,8219
1.70,6,6,78.9,69,3,3,8221
1.53,4,8,73.2,73,2,1,8222
1.50,6,7,70.6,75,3,1,8224
1.50,4,8,76.4,74,2,2,8235
1.51,5,8,67.2,75,2,1,8249
1.51,5,8,74.6,73,2,1,8251
1.50,6,6,70.4,74,3,2,8252
1.58,6,5,72.8,76,3,2,8254
1.54,6,7,73.5,75,2,2,8261
1.51,5,8,74.3,74,2,1,8263
1.50,4,8,72.9,77,3,2,8266
1.70,6,6,78.9,69,3,3,8266
1.50,2,8,78.6,71,2,1,8274
1.50,6,5,71.3,69,3,1,8275
1.53,4,8,73.2,73,2,1,8287
1.51,3,8,72.1,72,1,2,8290
1.50,4,8,70.5,71,3,2,8305
1.53,6,8,73.3,71,2,1,8306
1.53,5,8,72.0,71,2,2,8310
1.51,3,8,74.3,68,3,2,8318
1.60,6,7,73.7,72,2,1,8322
1.54,6,5,73.0,70,3,2,8328
1.53,4,8,73.2,73,2,1,8331
1.59,5,7,78.7,67,3,2,8342
1.50,5,6,80.3,70,3,1,8346
1.50,6,5,77.4,74,2,1,8351
1.51,5,5,67.3,72,3,2,8355
1.51,2,8,67.9,70,2,1,8357
1.52,6,7,76.5,72,3,2,8365
1.51,3,8,76.3,69,2,1,8368
1.54,6,5,73.0,70,3,2,8374
1.52,6,6,70.8,72,1,1,8378
1.50,6,5,71.3,69,3,1,8385
1.50,6,6,70.3,75,2,3,8400
1.51,5,5,67.3,72,3,2,8400
1.55,5,8,74.6,72,2,1,8400
1.52,2,8,69.3,69,2,3,8402
1.59,4,8,74.4,66,2,2,8407
1.52,4,7,72.8,83,3,3,8410
1.58,6,5,72.8,76,3,2,8413
1.53,6,7,77.2,78,3,2,8414
1.50,4,8,70.5,71,3,2,8415
1.50,6,6,71.6,70,2,1,8417
1.52,6,6,70.8,72,1,1,8424
1.71,6,8,73.6,75,2,2,8429
1.50,6,5,71.3,69,3,1,8430
1.54,5,8,73.2,74,2,2,8440
1.56,6,6,72.6,73,3,2,8447
1.53,3,8,72.8,71,2,2,8448
1.59,4,8,74.4,66,2,2,8452
1.52,4,7,72.8,83,3,3,8456
1.50,6,7,71.4,77,2,2,8458
1.58,6,5,72.8,76,3,2,8459
1.50,4,8,70.5,71,3,2,8460
1.50,6,5,73.6,74,2,1,8467
1.51,3,8,72.1,72,1,2,8480
1.53,5,8,71.7,71,1,2,8481
1.54,5,8,73.2,74,2,2,8486
1.51,3,8,72.3,75,3,2,8488
1.60,6,7,73.7,72,2,1,8493
1.50,2,8,72.8,67,2,1,8496
1.76,6,8,74.9,73,2,1,8498
1.51,3,8,74.3,68,3,2,8499
1.51,4,8,73.5,70,2,1,8501
1.52,4,8,71.4,75,2,1,8502
1.51,3,8,78.6,71,3,1,8511
1.51,3,8,72.1,72,1,2,8526
1.53,5,8,71.7,71,1,2,8527
1.50,5,5,81.1,69,3,2,8536
1.50,6,7,74.8,72,2,1,8536
1.52,4,7,76.2,70,3,3,8536
1.71,6,8,73.1,73,2,1,8536
1.51,3,8,74.3,68,3,2,8545
1.52,4,8,71.4,75,2,1,8547
1.50,5,6,70.3,83,3,3,8548
1.50,4,8,72.9,77,3,2,8550
1.70,4,8,70.6,73,2,2,8568
1.54,6,7,71.7,72,2,1,8569
1.50,6,6,71.6,70,2,1,8580
1.50,5,5,81.1,69,3,2,8583
1.52,4,7,76.2,70,3,3,8583
1.71,6,8,73.1,73,2,1,8583
1.50,6,5,71.1,74,2,2,8590
1.52,2,8,69.3,69,2,3,8595
1.54,6,6,70.3,71,1,1,8597
1.51,5,6,76.8,74,2,1,8610
1.76,6,8,74.9,73,2,1,8610
1.53,3,8,72.8,71,2,2,8612
1.54,6,7,71.7,72,2,1,8615
1.71,6,8,73.6,75,2,2,8622
1.50,6,6,71.6,70,2,1,8627
1.55,6,6,73.3,70,1,1,8630
1.52,2,8,69.3,69,2,3,8641
1.54,6,6,70.3,71,1,1,8643
1.76,6,8,74.9,73,2,1,8656
1.53,3,8,72.8,71,2,2,8658
1.51,3,8,73.0,71,2,1,8665
1.71,6,8,73.6,75,2,2,8668
1.50,2,8,72.8,67,2,1,8670
1.71,4,8,69.5,75,2,2,8672
1.71,6,8,70.5,74,2,1,8696
1.51,3,8,72.3,75,3,2,8700
1.52,6,5,75.4,72,3,1,8700
1.71,6,8,70.5,74,2,1,8744
1.52,6,6,72.7,68,2,1,8750
1.51,4,8,69.2,78,3,1,8765
1.55,6,7,72.4,79,2,1,8790
1.50,5,6,76.3,70,2,1,8794
1.51,3,8,73.4,66,2,1,8797
1.52,3,8,78.3,70,3,1,8798
1.71,6,7,84.5,70,3,2,8819
1.50,5,7,76.4,75,2,2,8830
1.51,3,8,73.0,71,2,1,8834
1.50,3,7,74.6,80,3,2,8845
1.52,5,6,73.7,75,2,1,8848
1.50,5,3,75.5,74,3,2,8852
1.52,4,8,71.4,75,2,1,8858
1.71,6,7,84.5,70,3,2,8865
1.50,6,7,73.7,69,1,1,8878
1.50,4,8,70.4,73,2,1,8879
1.52,6,6,70.8,72,1,1,8879
1.51,3,8,73.0,71,2,1,8881
1.51,5,8,73.7,72,1,1,8885
1.50,6,6,78.3,65,2,1,8890
1.51,4,8,71.5,72,2,1,8890
1.56,5,5,66.0,80,2,2,8890
1.50,3,7,74.6,80,3,2,8894
1.50,5,7,75.1,77,2,1,8896
1.51,2,8,72.2,77,2,2,8908
1.52,4,8,71.0,71,1,1,8908
1.53,6,6,72.5,78,3,2,8913
1.51,3,8,73.4,66,2,1,8914
1.71,6,7,69.6,74,3,3,8919
1.56,3,8,76.7,75,3,2,8921
1.51,5,4,83.8,68,2,2,8927
1.51,2,8,77.9,75,2,1,8932
1.50,4,7,77.6,75,3,3,8941
1.54,5,8,73.2,74,2,2,8945
1.51,3,8,71.5,72,3,2,8951
1.52,4,8,71.0,71,1,1,8956
1.51,3,8,73.4,66,2,1,8961
1.63,6,8,71.8,72,2,1,8967
1.53,6,5,71.5,72,1,1,8970
1.51,5,7,75.1,77,3,2,8983
1.53,5,8,71.7,71,1,2,8988
1.51,4,8,74.8,73,2,1,8990
1.70,6,6,75.0,72,3,2,8991
1.50,6,4,73.6,72,1,1,8992
1.52,6,6,74.6,73,2,2,8995
1.51,3,8,71.5,72,3,2,9000
1.70,4,8,70.6,73,2,2,9004
1.52,5,6,73.7,75,2,1,9011
1.51,5,4,75.2,72,2,2,9019
1.50,4,8,76.4,76,3,2,9027
1.54,2,8,70.0,74,2,2,9027
1.51,5,7,75.1,77,3,2,9032
1.54,6,7,73.5,70,2,1,9039
1.51,5,4,83.8,68,2,2,9046
1.56,6,7,74.0,73,2,1,9054
1.51,5,8,68.8,70,3,2,9057
1.51,5,8,67.2,75,2,1,9058
1.52,5,6,73.7,75,2,1,9059
1.70,6,8,70.7,73,3,2,9070
1.52,5,6,74.9,79,1,2,9080
1.54,6,7,71.7,72,2,1,9081
1.56,3,8,76.7,75,3,2,9085
1.52,6,5,73.0,71,2,2,9086
1.54,5,8,70.8,72,2,1,9088
1.51,4,8,74.8,76,3,1,9090
1.70,6,7,71.7,70,3,2,9093
1.51,5,4,83.8,68,2,2,9094
1.51,6,4,76.5,65,2,2,9098
1.51,3,8,72.1,72,1,2,9100
1.53,4,8,73.2,73,2,1,9105
1.53,2,8,68.8,79,3,3,9111
1.50,6,7,79.1,73,2,1,9124
1.50,6,5,72.1,77,2,2,9126
1.60,6,4,72.2,74,2,1,9127
1.50,5,6,73.8,77,3,2,9129
1.52,5,6,74.9,79,1,2,9129
1.53,5,7,73.0,75,2,2,9129
1.51,5,5,74.5,73,3,2,9130
1.67,5,8,75.9,81,3,2,9130
1.56,3,8,76.7,75,3,2,9135
1.50,5,7,74.0,80,3,2,9140
1.50,6,7,73.9,73,2,1,9143
1.51,4,8,73.0,74,2,1,9152
1.50,6,6,75.2,73,1,1,9168
1.51,3,8,71.1,76,3,2,9170
1.51,5,6,71.4,69,1,1,9173
1.71,6,7,69.6,74,3,3,9173
1.50,4,7,77.6,75,3,3,9176
1.50,6,5,72.1,77,2,2,9176
1.60,6,4,72.2,74,2,1,9176
1.51,5,7,73.4,70,2,1,9179
1.51,4,7,75.2,72,2,2,9187
1.51,5,6,71.4,71,2,2,9192
1.51,5,6,71.7,70,3,1,9192
1.72,6,6,82.8,71,2,2,9195
1.54,2,8,70.0,74,2,2,9196
1.50,6,4,73.6,72,1,1,9198
1.50,6,6,75.6,80,3,1,9198
1.52,6,5,73.0,71,2,2,9207
1.55,3,8,70.9,74,2,2,9213
1.54,6,4,74.9,73,3,2,9214
1.70,6,6,75.0,72,3,2,9216
1.53,4,7,74.0,73,2,3,9217
1.71,6,8,70.5,74,2,1,9217
1.55,5,7,73.9,79,3,1,9219
1.51,5,7,73.4,70,2,1,9228
1.51,4,7,75.2,72,2,2,9237
1.50,6,6,70.4,74,3,2,9238
1.50,6,4,73.6,72,1,1,9247
1.51,2,8,72.5,72,2,1,9251
